ID_field,ID,FieldN,FieldN_2,Day_swab,Treatment,TotalInitialDoseZoosporesPermL,StrainSpecificInitialDoseZoosporesPermL,Lineage_type,Lineage,Strains,StrainID,Mortality_percentage,Cleared_percentage,Total_Bd_quantity,Number_of_lineages,DNA,VICqtyGPL,VICqtyHyb,FAMqtyBZ,GPL_pg,Brazil_pg,Hybrid,TotalBd,Susceptible,Infected,Dead
97M,97,M,S2,47,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.031495572,0,31.496,0,31.496,0,1,1
108#,108,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.021795703,0,21.796,0,21.796,0,1,0
108M,108,M,S2,34,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.02482963,0,24.83,0,24.83,0,1,1
128#,128,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.002852631,0,2.853,0,2.853,0,1,0
128F,128,F,S2,76,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.000509566,0,0.51,0,0.51,0,1,0
152#,152,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.00138739,0,1.387,0,1.387,0,1,0
152M,152,M,S2,48,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.15291283,0,152.913,0,152.913,0,1,1
165#,165,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.004091806,0,4.092,0,4.092,0,1,0
165M,165,M,S2,48,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.07517352,0,75.174,0,75.174,0,1,1
183#,183,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.023278892,0,23.279,0,23.279,0,1,0
183M,183,M,S2,55,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.268130591,0,268.131,0,268.131,0,1,1
243#,243,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.007174927,0,7.175,0,7.175,0,1,0
243M,243,M,S2,42,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.492800633,0,492.801,0,492.801,0,1,1
296#,296,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.003885531,0,3.886,0,3.886,0,1,0
296F,296,F,S2,76,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.00054644,0,0.546,0,0.546,0,1,0
327#,327,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.001646625,0,1.647,0,1.647,0,1,0
